tract,state_abbr,year,hpi
1073014205,AL,2000,142.07
1073014206,AL,2000,142.27
1073014207,AL,2000,147.77
1073014208,AL,2000,134.33
1073014209,AL,2000,142.77
1073014301,AL,2000,102.51
1073014404,AL,2000,168.67
1073014405,AL,2000,158.54
1073014406,AL,2000,188.45
1073014409,AL,2000,159.16
1073014410,AL,2000,124.51
1073014412,AL,2000,179.11
1073014414,AL,2000,158.40
1073014415,AL,2000,124.83
1077010400,AL,2000,116.58
1077010901,AL,2000,110.46
1077010902,AL,2000,119.19
1077011000,AL,2000,100.20
1077011101,AL,2000,122.00
1077011102,AL,2000,130.48
1077011200,AL,2000,108.04
1077011502,AL,2000,101.46
1077011503,AL,2000,99.92
1077011504,AL,2000,113.98
1077011602,AL,2000,104.41
1077011603,AL,2000,111.44
1077011605,AL,2000,103.19
1077011606,AL,2000,103.15
1077011700,AL,2000,100.87
1077011801,AL,2000,97.65
1077011802,AL,2000,99.95
1079979300,AL,2000,115.19
1079979400,AL,2000,103.76
1079979501,AL,2000,110.59
1079979600,AL,2000,131.03
1079979800,AL,2000,100.72
1081040202,AL,2000,134.73
1081040300,AL,2000,155.95
1081040402,AL,2000,161.69
1081040403,AL,2000,142.20
1081040501,AL,2000,156.54
1081040502,AL,2000,133.20
1081040602,AL,2000,128.48
1081040901,AL,2000,159.78
1081040904,AL,2000,145.53
1081041001,AL,2000,104.05
1081041101,AL,2000,123.22
1081041104,AL,2000,135.52
1081041200,AL,2000,165.08
1081041300,AL,2000,158.73
1081041703,AL,2000,126.06
1081041801,AL,2000,112.76
1081041901,AL,2000,145.37
1081041902,AL,2000,111.41
1081041903,AL,2000,115.28
1081042002,AL,2000,137.24
1081042003,AL,2000,118.02
1081042005,AL,2000,140.98
1081042007,AL,2000,132.89
1081042101,AL,2000,111.83
1081042104,AL,2000,139.80
1083020101,AL,2000,111.44
1083020103,AL,2000,106.21
1083020104,AL,2000,105.29
1083020201,AL,2000,105.15
1083020202,AL,2000,105.91
1083020300,AL,2000,102.73
1083020402,AL,2000,122.28
1083020403,AL,2000,106.53
1083020404,AL,2000,101.88
1083020500,AL,2000,125.32
1083020600,AL,2000,109.58
1083020803,AL,2000,114.41
1083020804,AL,2000,115.80
1083020806,AL,2000,108.48
1083020900,AL,2000,154.21
1083021000,AL,2000,98.76
1083021101,AL,2000,106.21
1083021102,AL,2000,122.87
1083021201,AL,2000,105.10
1089000403,AL,2000,105.75
1089000602,AL,2000,114.58
1089000901,AL,2000,114.82
1089000902,AL,2000,114.17
1089001000,AL,2000,136.61
1089001401,AL,2000,106.78
1089001404,AL,2000,105.31
1089001500,AL,2000,97.03
1089001700,AL,2000,128.88
1089001801,AL,2000,152.83
1089001901,AL,2000,139.36
1089001902,AL,2000,132.23
1089001903,AL,2000,133.86
1089002000,AL,2000,127.25
1089002600,AL,2000,141.36
1089002701,AL,2000,115.92
1089002721,AL,2000,137.66
1089002722,AL,2000,133.09
1089002801,AL,2000,125.59
1089002803,AL,2000,97.25
1089002804,AL,2000,137.57
1089002911,AL,2000,129.81
1089002912,AL,2000,126.65
1089002922,AL,2000,127.66
1089002923,AL,2000,122.99
1089002924,AL,2000,118.64
1089003100,AL,2000,166.72
1089010101,AL,2000,130.46
1089010102,AL,2000,107.96
1089010200,AL,2000,129.20
1089010302,AL,2000,127.95
1089010303,AL,2000,121.76
1089010304,AL,2000,116.98
1089010403,AL,2000,118.49
1089010404,AL,2000,117.13
1089010405,AL,2000,119.72
1089010406,AL,2000,125.65
1089010502,AL,2000,115.98
1089010503,AL,2000,118.54
1089010504,AL,2000,127.32
1089010612,AL,2000,108.61
1089010623,AL,2000,121.29
1089010625,AL,2000,
1089010626,AL,2000,114.79
1089010628,AL,2000,114.44
1089010629,AL,2000,122.04
1089010630,AL,2000,124.88
1089010631,AL,2000,139.57
1089010703,AL,2000,104.07
1089010704,AL,2000,141.24
1089010705,AL,2000,121.78
1089010706,AL,2000,119.92
1089010801,AL,2000,118.65
1089010802,AL,2000,115.81
1089010902,AL,2000,131.26
1089010903,AL,2000,131.56
1089010905,AL,2000,120.63
1089011012,AL,2000,138.09
1089011013,AL,2000,123.30
1089011021,AL,2000,118.25
1089011023,AL,2000,126.94
1089011024,AL,2000,111.86
1089011025,AL,2000,116.95
1089011026,AL,2000,120.99
1089011027,AL,2000,127.43
1089011028,AL,2000,113.79
1089011202,AL,2000,119.87
1089011203,AL,2000,120.80
1089011301,AL,2000,109.48
1089011302,AL,2000,117.45
1089011400,AL,2000,122.69
1091973400,AL,2000,107.39
1093964702,AL,2000,105.03
1095030203,AL,2000,114.43
1095030204,AL,2000,124.72
1095030206,AL,2000,143.57
1095030301,AL,2000,101.39
1095030302,AL,2000,129.59
1095030401,AL,2000,126.26
1095030402,AL,2000,126.20
1095030501,AL,2000,132.34
1095030502,AL,2000,117.80
1095030601,AL,2000,138.64
1095030602,AL,2000,152.67
1095030701,AL,2000,154.37
1095030702,AL,2000,105.39
1095030801,AL,2000,137.97
1095030902,AL,2000,130.07
1095030903,AL,2000,108.76
1095030904,AL,2000,137.99
1095031200,AL,2000,132.61
1097000901,AL,2000,177.01
1097000902,AL,2000,167.35
1097000903,AL,2000,
1097001001,AL,2000,152.92
1097001002,AL,2000,171.66
1097001902,AL,2000,103.44
1097002000,AL,2000,156.35
1097002501,AL,2000,166.79
1097002502,AL,2000,153.51
1097002800,AL,2000,110.10
1097002900,AL,2000,140.36
1097003000,AL,2000,144.92
1097003100,AL,2000,136.83
1097003203,AL,2000,112.96
1097003301,AL,2000,154.23
1097003302,AL,2000,159.34
1097003405,AL,2000,119.64
1097003406,AL,2000,131.35
1097003408,AL,2000,108.61
1097003409,AL,2000,100.67
1097003410,AL,2000,132.11
1097003501,AL,2000,183.30
1097003502,AL,2000,163.97
1097003606,AL,2000,126.01
1097003607,AL,2000,123.12
1097003703,AL,2000,120.38
1097003704,AL,2000,130.94
1097003705,AL,2000,128.59
1097003706,AL,2000,140.19
1097003707,AL,2000,121.63
1097003708,AL,2000,151.02
1097003710,AL,2000,130.80
1097003711,AL,2000,121.82
1097003712,AL,2000,127.73
1097005400,AL,2000,117.51
1097005601,AL,2000,142.26
1097005602,AL,2000,136.57
1097005701,AL,2000,128.15
1097005702,AL,2000,115.61
1097005900,AL,2000,104.09
1097006000,AL,2000,107.56
1097006104,AL,2000,107.67
1097006106,AL,2000,136.59
1097006107,AL,2000,129.41
1097006303,AL,2000,142.92
1097006306,AL,2000,135.98
1097006307,AL,2000,139.44
1097006407,AL,2000,141.63
1097006408,AL,2000,126.18
1097006409,AL,2000,134.79
1097006410,AL,2000,124.03
1097006411,AL,2000,126.15
1097006412,AL,2000,142.09
1097006413,AL,2000,127.70
1097006501,AL,2000,129.87
1097006503,AL,2000,140.67
1097006504,AL,2000,109.95
1097006505,AL,2000,106.25
1097006600,AL,2000,136.15
1097006703,AL,2000,108.34
1097006802,AL,2000,107.32
1097006803,AL,2000,121.42
